EC-Lab ASCII FILE
Nb header lines : 70                          

Cyclic Voltammetry Advanced

Run on channel : 1 (SN 1732)
User : 
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Ewe,I filtering : 50 kHz
Safety Limits :
	Do not start on E overload
Channel : Grounded
Acquisition started on : 06/21/2021 17:22:49.735
Loaded Setting File :  NONE
Saved on :
	File : Cubes_Tim_01MKHCO3_21062021_B_t1_02_CVA_C01.mpr
	Directory : C:\Users\DEMS 2019\Documents\EC-Lab\Data\Jorge\
	Host : 192.168.1.101
Device : SP-200 (SN 0161)
Address : USB
EC-Lab for windows v11.36 (software)
Internet server v11.36 (firmware)
Command interpretor v11.36 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Cable : standard
Reference electrode : SCE Saturated Calomel Electrode (0,241 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0,010              
vs.                 Ref                 
ti (h:m:s)          0:00:0,0000         
dti (s)             1,0000              
dE/dt               10,000              
dE/dt unit          mV/s                
E1 (V)              0,540               
vs.                 Ref                 
t1 (h:m:s)          0:00:0,0000         
dt1 (s)             0,0000              
Step percent        50                  
N                   20                  
E range min (V)     -10,000             
E range max (V)     10,000              
I Range             100 mA              
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           6                   
E2 (V)              -1,250              
vs.                 Ref                 
t2 (h:m:s)          0:00:0,0000         
dt2 (s)             0,1000              
nc cycles           200                 
nr                  1                   
Reverse Scan        1                   
Ef (V)              0,490               
vs.                 Ref                 
tf (h:m:s)          0:10:0,0000         
dtf (s)             0,1000              

Number of loops : 1
Loop 0 from point number 0 to 9824

mode	ox/red	error	control changes	Ns changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	P/W	
2	0	0	0	0	0	3,287859916937305E+001	-9,9525508E-003	-1,0446908E-002	-9,174361079931259E-002	1,000000000000000E+000	0,0000000E+000	38	9,5843711E-007
2	0	0	1	0	0	3,322859916053130E+001	-6,4524803E-003	-6,8911924E-003	-8,181137790893045E-002	1,000000000000000E+000	-2,8635775E-005	38	5,6377797E-007
2	0	0	1	0	0	3,389499914369662E+001	2,1155657E-004	-2,3925085E-004	-7,844928420372232E-002	1,000000000000000E+000	-8,1879349E-005	38	1,8769057E-008
2	0	0	1	0	0	3,456159912685689E+001	6,8774833E-003	6,4974464E-003	-7,498365755463809E-002	1,000000000000000E+000	-1,3288498E-004	38	-4,8720227E-007
2	0	0	1	0	0	3,522819911001716E+001	1,3543408E-002	1,3169962E-002	-7,277456924326353E-002	1,000000000000000E+000	-1,8202263E-004	38	-9,5843836E-007
2	0	0	1	0	0	3,589459909318248E+001	2,0207543E-002	1,9797212E-002	-7,074175232523117E-002	1,000000000000000E+000	-2,2971968E-004	38	-1,4004894E-006
2	0	0	1	0	0	3,656119907634275E+001	2,6873469E-002	2,6465360E-002	-6,866397180511186E-002	1,000000000000000E+000	-2,7609174E-004	38	-1,8172167E-006
2	0	0	1	0	0	3,722779905950301E+001	3,3539504E-002	3,3139419E-002	-6,675517322796187E-002	1,000000000000000E+000	-3,2112355E-004	38	-2,2122276E-006
2	0	0	1	0	0	3,789439904266328E+001	4,0205430E-002	3,9800864E-002	-6,461057095779776E-002	1,000000000000000E+000	-3,6478997E-004	38	-2,5715565E-006
2	0	0	1	0	0	3,856079902582860E+001	4,6869569E-002	4,6486508E-002	-6,253586170827230E-002	1,000000000000000E+000	-4,0705496E-004	38	-2,9070738E-006
2	0	0	1	0	0	3,922739900898887E+001	5,3535488E-002	5,3176165E-002	-6,097446918568539E-002	1,000000000000000E+000	-4,4813077E-004	38	-3,2423884E-006
2	0	0	1	0	0	3,989399899214914E+001	6,0201421E-002	5,9822109E-002	-5,911375183732714E-002	1,000000000000000E+000	-4,8803855E-004	38	-3,5363094E-006
2	0	0	1	0	0	4,056039897531446E+001	6,6865548E-002	6,6493869E-002	-5,682035370421601E-002	1,000000000000000E+000	-5,2656664E-004	38	-3,7782052E-006
2	0	0	1	0	0	4,122699895847472E+001	7,3531471E-002	7,3184758E-002	-5,504267471119662E-002	1,000000000000000E+000	-5,6375941E-004	38	-4,0282848E-006
2	0	0	1	0	0	4,189359894163499E+001	8,0197409E-002	7,9796128E-002	-5,281282027886947E-002	1,000000000000000E+000	-5,9956679E-004	38	-4,2142588E-006
2	0	0	1	0	0	4,255999892480031E+001	8,6861439E-002	8,6451426E-002	-5,094325676196954E-002	1,000000000000000E+000	-6,3402299E-004	38	-4,4041171E-006
2	0	0	1	0	0	4,322659890796058E+001	9,3527466E-002	9,3100868E-002	-4,944712719314281E-002	1,000000000000000E+000	-6,6740514E-004	38	-4,6035707E-006
2	0	0	1	0	0	4,389319889112085E+001	1,0019349E-001	9,9787533E-002	-4,755594658095452E-002	1,000000000000000E+000	-6,9958373E-004	38	-4,7454905E-006
2	0	0	1	0	0	4,455979887428111E+001	1,0685943E-001	1,0648265E-001	-4,597614283459056E-002	1,000000000000000E+000	-7,3063839E-004	38	-4,8956617E-006
2	0	0	1	0	0	4,522619885744643E+001	1,1352345E-001	1,1313236E-001	-4,470189411160763E-002	1,000000000000000E+000	-7,6072238E-004	38	-5,0572307E-006
2	0	0	1	0	0	4,589279884060670E+001	1,2018948E-001	1,1975440E-001	-4,327565482932033E-002	1,000000000000000E+000	-7,8990147E-004	38	-5,1824500E-006
2	0	0	1	0	0	4,655939882376697E+001	1,2685543E-001	1,2640029E-001	-4,159758491204391E-002	1,000000000000000E+000	-8,1804488E-004	38	-5,2579467E-006
